epoch tloss tacc loss acc
1 0.3862132430076599 0.7528257978723404 0.18091470003128052 0.8501
2 0.11794725805521011 0.9372162126068376 0.16157525777816772 0.8731
3 0.09450631588697433 0.9555019946808511 0.1317734569311142 0.894
4 0.07180861383676529 0.9688668536324786 0.1096457988023758 0.9127
5 0.06571904569864273 0.9721721420940171 0.10172540694475174 0.9165
6 0.053007517009973526 0.9788563829787233 0.09248282760381699 0.924
7 0.053611066192388535 0.9781984508547008 0.10540246218442917 0.9154
8 0.05371361970901489 0.9787994123931624 0.09039311856031418 0.9247
9 0.04256406053900719 0.9838264627659574 0.0828644260764122 0.932
10 0.04578177258372307 0.9829059829059829 0.08156091719865799 0.9347
11 0.04008904844522476 0.9855551861702128 0.08426972478628159 0.9345
12 0.036854155361652374 0.9867120726495726 0.07984580844640732 0.9343
