epoch tloss tacc loss acc
1 0.3862147033214569 0.7528257978723404 0.27335721254348755 0.7197
2 0.11788647621870041 0.9372996794871795 0.25545403361320496 0.7576
3 0.09408287703990936 0.9555851063829788 0.24614836275577545 0.7429
4 0.0746207982301712 0.9671975160256411 0.20897924900054932 0.7906
5 0.06350985169410706 0.9732905982905983 0.2340141087770462 0.7545
6 0.05295620858669281 0.9793882978723404 0.20060142874717712 0.7974
7 0.0601489320397377 0.9741085737179487 0.1938496083021164 0.801
8 0.048257630318403244 0.9808360042735043 0.18985940515995026 0.8116
9 0.04303373768925667 0.9831117021276595 0.19094344973564148 0.8036
10 0.044371381402015686 0.9835403311965812 0.20513293147087097 0.787
11 0.03897799924015999 0.986153590425532 0.19737908244132996 0.8006
12 0.03694037348031998 0.9868456196581197 0.1942111998796463 0.8009
