epoch tloss tacc loss acc
1 0.4072890877723694 0.7459607712765958 0.47646039724349976 0.5109
2 0.11315073072910309 0.9430422008547008 0.43253839015960693 0.5441
3 0.08937602490186691 0.9587101063829787 0.42657387256622314 0.5461
4 0.0732017382979393 0.9667801816239316 0.4065037965774536 0.5588
5 0.06613440811634064 0.9705361912393162 0.4169241189956665 0.5299
6 0.05428232252597809 0.9769281914893617 0.400058388710022 0.5657
7 0.05353143438696861 0.9771300747863247 0.420329749584198 0.5348
8 0.0519283227622509 0.978515625 0.4046194553375244 0.5596
9 0.04301334545016289 0.9841921542553191 0.39768022298812866 0.5613
10 0.04144405946135521 0.9848591079059829 0.3742445111274719 0.5881
11 0.040553927421569824 0.9844248670212766 0.3995836079120636 0.5694
12 0.0382608063519001 0.9865117521367521 0.3806515038013458 0.5775
